Año,Equipo,Nombre ,Nacionalidad,edad,Posicion 
2010,Inter de Milán,Julio César,Brasil,30,Portero
2010,Inter de Milán,Maicon ,Brasil,28,Lateral derecho
2010,Inter de Milán,Lucio,Brasil,32,Defensa central 
2010,Inter de Milán,Walter Samuel,Argentina,32,Defensa central 
2010,Inter de Milán,Javier Zanetti,Argentina ,36,Lateral derecho/Mediocampista
2010,Inter de Milán,Cristian Chivu,Rumania,29,Lateral Izquierdo/Defensa central
2010,Inter de Milán,Esteban Cambiasso,Argentina,29,Mediocampista defensivo
2010,Inter de Milán,Wesley Sneijder,Países Bajos,26,Mediocampista ofensivo
2010,Inter de Milán,Goran Pandev,Macedionia del Norte ,26,Delantero
2010,Inter de Milán,Diego Milito ,Argentina,30,Delantero centro
2010,Inter de Milán,Samuel Eto'o,Camerún ,29,Delantero
2010,Inter de Milán,Francesco Toldo ,Italia,38,Protero
2010,Inter de Milán,Ivan Córdoba,Colombia,33,Defensa central 
2010,Inter de Milán,Marco Materazzi,Italia,36,Defensa central 
2010,Inter de Milán,Dejan Stankovi?,Serbia,31,Mediocampista
2010,Inter de Milán,Sully Muntari,Ghana,25,Mediocampista
2010,Inter de Milán,McDonald Mariga,Italia,27,Mediocampista ofensivo
2010,Inter de Milán,Mario Balotelli,Keniata,23,Mediocentro
2010,Bayern Múnich,Hans-Jörg Butt,Alenamia,35,Portero
2010,Bayern Múnich,Philipp Lahm,Alemania,26,Lateral derecho
2010,Bayern Múnich,Daniel Van Buyten,Bélgica,32,Defensa central 
2010,Bayern Múnich,Martín Demichelis,Argentina,29,Defensa central 
2010,Bayern Múnich,Holger Badstuber,Alemania,21,Lateral izquierdo/defensa central
2010,Bayern Múnich,Mark van Bommel,Países Bajos,33,Mediocampista defensivo
2010,Bayern Múnich,Bastian Schweinsteiger,Alemania,25,Mediocampista central
2010,Bayern Múnich,Arjen Robben,Países Bajos,26,Extremo derecho
2010,Bayern Múnich,Thomas Müller,Alemania,20,Mediocampista ofensivo/delantero
2010,Bayern Múnich,Ivica Oli?,Croacia,30,Delantero
2010,Bayern Múnich,Hamít Alt?ntop,Turquía,27,Mediocampista
2010,Bayern Múnich,Michael Rensing,Alemania,26,Portero
2010,Bayern Múnich,Diego Contento,Alemania,20,Lateral Izquierdo
2010,Bayern Múnich,Anatoliy Tymoshchuk,Ucrania,31,Mediocampista defensivo
2010,Bayern Múnich,Mario Gómez,Alemania,24,Delantero
2010,Bayern Múnich,Miroslav Klose,Alemania,31,Delantero centro
2010,Bayern Múnich,Danijel Pranji?,Croacia,29,Centrocampista
2010,Bayern Múnich,Andreas Görlitz,Alemania,28,Defensa
2011,Barcelona,Víctor Valdés,España,29,Portero
2011,Barcelona,Dani Alves,Brasil,28,Lateral derecho
2011,Barcelona,Gerard Piqué,España,24,Defensa central 
2011,Barcelona,José Manuel Pinto ,España,35,Portero
2011,Barcelona,Carles Puyol,España,33,Defensa central 
2011,Barcelona,Gabriel Milito,Argentina,30,Defensa central 
2011,Barcelona,Marc Munisa,España,19,Defensa central 
2011,Barcelona,Andreu Fontás,España,21,Defensa central 
2011,Barcelona,Marc Bartra,España,20,Defensa central 
2011,Barcelona,Sergi Gomez,España,19,Defensa central 
2011,Barcelona,Eric Abidal,Francia,31,Lateral izquierdo
2011,Barcelona,Adriano ,Brasil,26,Lateral izquierdo
2011,Barcelona,Maxwell,Brasil,29,Lateral izquierdo
2011,Barcelona,Martín Montoya,España,20,Lateral derecho
2011,Barcelona,Sergio Busquets,España,22,Mediocampista defensivo
2011,Barcelona,Javier Mascherano,Argentina,27,Mediocampista defensivo
2011,Barcelona,Jonathan dos Santos,México,22,Mediocampista defensivo
2011,Barcelona,Andrés Iniesta,España,27,Mediocampista
2011,Barcelona,Xavi,España,31,Mediocampista
2011,Barcelona,Seydou Keita,Senegal,31,Mediocampista
2011,Barcelona,Thiago Alcántara,España,20,Mediocampista
2011,Barcelona,Sergi Roberto,España,19,Mediocampista
2011,Barcelona,Ibrahim Afellay,Holanda,25,Mediocampista ofensivo
2011,Barcelona,Víctor Vázquez,España,24,Mediocampista ofensivo
2011,Barcelona,Nolito,España,24,Extremo izquierdo
2011,Barcelona,Lionel Messi,Argentina,24,Extremo derecho
2011,Barcelona,Pedro,España,23,Extremo derecho
2011,Barcelona,Jeffrén,Venezuela,23,Extremo derecho
2011,Barcelona,Bojan Krkic,España,20,Mediocampista ofensivo
2011,Barcelona,David Villa,España,29,Delantero centro
2011,Barcelona,Oriol Romeu,España,19,Mediocampista defensivo
2011,Manchester United,Anders Lindegaard,Dinamarca,27,Portero
2011,Manchester United,Tomasz Kuszczak,Polonia,29,Portero
2011,Manchester United,Edwin van der Sar,Holanda,40,Portero
2011,Manchester United,Ben Amos,Inglaterra,21,Portero
2011,Manchester United,Nemanja Vidic,Serbia,29,Defensa central 
2011,Manchester United,Rio Ferdinand,Inglaterra,32,Defensa central 
2011,Manchester United,Jonny Evans,Irlanda del norte,23,Defensa central 
2011,Manchester United,John O'Shea,Irlanda,30,Defensa central 
2011,Manchester United,Wes Brown,Inglaterra,31,Defensa central 
2011,Manchester United,Chris Smalling,Inglaterra,21,Defensa central 
2011,Manchester United,Oliver Gill,Inglaterra,20,Defensa central 
2011,Manchester United,Patrice Evra,Francia,30,Lateral izquierdo
2011,Manchester United,Antonio Valencia,Ecuador,25,Lateral derecho
2011,Manchester United,Rafael,Brasil,20,Lateral derecho
2011,Manchester United,Fábio,Brasil,20,Lateral derecho
2012,Manchester United,Ritchie De Laet,Belgica,22,Lateral derecho
2011,Manchester United,Gary Neville,Inglaterra,36,Lateral derecho
2011,Manchester United,Michael Carrick,Inglaterra,29,Mediocampista defensivo
2011,Manchester United,Owen Hargreaves,Inglaterra,30,Mediocampista defensivo
2011,Manchester United,Darren Fletcher,Escocia,27,Mediocampista
2011,Manchester United,Anderson,Brasil,23,Mediocampista
2011,Manchester United,Paul Scholes,Inglaterra,36,Mediocampista
